Date,Round,HomeTeam,AwayTeam,Possession_Home,Possession_Away,Home_duels_success_rate,Away_duels_success_rate,Home_aerials_success_rate,Away_aerials_success_rate,Home_interceptions,Away_interceptions,Home_offsides,Away_offsides,Home_corners,Away_corners,Home_passes,Away_passes,Home_long_passes,Away_long_passes,Home_passing_acc,Away_passing_acc,Home_passing_acc_opp_half,Away_passing_acc_opp_half,Home_crosses,Away_crosses,Home_crossing_acc,Away_crossing_acc,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeSOT,AwaySOT,Home_blocked_shots,Away_blocked_shots,Home_Shots_OB,Away_Shots_OB,Home_Shots_IB,Away_shots_IB,Home_shooting_acc,Away_shooting_acc,HomeTackles,AwayTackles,Home_Tackle_success_rate,Away_Tackle_success_rate,HomeClearances,AwayClearances,HomeFouls,AwayFouls,HomeYellows,AwayYellows,HomeReds,AwayReds,Referee,Time
13/09/2020,3,Psg,Marseille,0.66,0.34,0.52,0.48,0.43,0.57,5,11,4,3,4,2,529,279,40,59,0.88,0.74,0.8,0.66,27,9,0.3,0.22,0,1,14,5,4,2,4,2,5,2,9,3,0.29,0.4,19,19,0.68,0.47,6,26,17,19,4,6,3,2,Jérôme Brisard, 21:00
12/09/2020,3,Asse,Strasbourg,0.48,0.52,0.52,0.48,0.5,0.5,12,8,3,0,6,3,347,381,46,70,0.76,0.74,0.59,0.64,23,10,0.17,0.3,2,0,9,14,4,7,1,3,3,6,6,8,0.44,0.5,18,13,0.56,0.92,18,18,13,19,1,3,0,0,Eric Wattellier, 21:00
20/09/2020,4,Brest,Lorient,0.57,0.43,0.56,0.44,0.77,0.23,13,12,2,1,4,6,504,369,62,60,0.84,0.74,0.74,0.54,17,17,0.41,0.29,3,2,14,10,6,4,4,1,4,3,10,7,0.43,0.4,18,19,0.61,0.63,17,14,20,13,2,1,0,0,Karim Abed, 15:00
19/09/2020,4,Lens,Bordeaux,0.59,0.41,0.48,0.52,0.43,0.57,13,17,1,1,7,0,546,379,62,60,0.85,0.79,0.7,0.65,20,7,0.2,0.86,2,1,19,7,5,3,6,0,3,3,16,4,0.26,0.43,14,15,0.79,0.47,10,21,15,15,5,3,0,1,Benoît Millot, 17:00
18/09/2020,4,Lyon,Nîmes,0.74,0.26,0.5,0.5,0.55,0.45,5,16,0,0,9,3,639,232,45,66,0.87,0.63,0.78,0.52,36,9,0.17,0.22,0,0,16,10,3,3,8,3,8,8,8,2,0.19,0.3,20,29,0.8,0.55,10,40,18,12,3,2,0,0,Amaury Delerue, 21:00
20/09/2020,4,Marseille,Lille,0.57,0.43,0.5,0.5,0.48,0.52,8,12,0,5,5,4,499,391,70,68,0.77,0.77,0.62,0.67,25,14,0.12,0.36,1,1,11,14,2,7,3,1,5,5,6,9,0.18,0.5,18,15,0.72,0.6,6,16,12,18,3,3,0,0,Hakim Ben El Hadj, 21:00
20/09/2020,4,Fc Metz,Reims,0.6,0.4,0.51,0.49,0.55,0.45,12,7,1,0,8,5,450,318,46,58,0.83,0.73,0.73,0.6,37,12,0.27,0.08,2,1,14,10,4,4,3,3,7,6,7,4,0.29,0.4,21,17,0.57,0.47,13,21,14,7,1,4,0,1,Johan Hamel, 15:00
20/09/2020,4,Montpellier,Angers,0.51,0.49,0.44,0.56,0.61,0.39,11,10,0,0,6,3,512,518,49,38,0.87,0.86,0.73,0.75,30,12,0.13,0.08,4,1,14,14,9,3,2,4,4,5,10,9,0.64,0.21,14,26,0.79,0.58,9,22,14,5,4,3,0,0,Stéphanie Frappart, 15:00
20/09/2020,4,Nantes,Asse,0.56,0.44,0.52,0.48,0.65,0.35,14,9,3,0,4,2,418,339,45,57,0.83,0.72,0.75,0.44,34,8,0.29,0.12,2,2,15,6,3,4,2,1,4,4,11,2,0.2,0.67,10,22,0.4,0.68,10,25,12,17,2,2,0,0,Antony Gautier, 17:00
20/09/2020,4,Nice,Psg,0.5,0.5,0.46,0.54,0.6,0.4,5,6,0,2,4,7,551,539,45,48,0.91,0.92,0.82,0.84,16,26,0.31,0.31,0,3,14,14,5,6,4,5,9,0,5,14,0.36,0.43,8,14,0.38,0.57,15,8,9,9,1,2,0,0,Benoît Bastien, 13:00
19/09/2020,4,Rennes,Monaco,0.58,0.42,0.49,0.51,0.42,0.58,9,13,0,3,9,10,601,424,49,51,0.88,0.81,0.78,0.63,24,20,0.25,0.4,2,1,15,14,3,2,5,6,6,5,9,9,0.2,0.14,10,16,0.4,0.75,15,17,11,12,1,2,0,0,Jérôme Miguelgorry, 21:00
